sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	vocabulary matches	vocabulary matches percentage	vocabulary words found
0	VOYAGE DANS LES ESPACES.	0	0	4	0	0.0	[]
1	CHAPITRE PREMIER.	0	1	2	0	0.0	[]
2	LE quinze du mois.... dernier, je fus attaqué d'une si violente apoplexie que je restai près de vingt-quatre heures sans connaissance.	1	0	22	1	0.045454545454545456	[['un']]
3	Qu'on demande à quelqu'un qui se soit trouvé dans un pareil état, ce que faisait pour lors son âme, il répondra qu'elle était dans les espaces.	1	1	29	3	0.10344827586206896	[['un'], ['un'], ['faire']]
4	C'est-là précisément que fut la mienne.	1	2	8	0	0.0	[]
5	Voici	2	0	1	0	0.0	[]
6	qui est intéressant, dira d'abord tout Physicien, un voyage dans ce Pays-là est l'unique moyen de décider la question du vide et du plein, mais je le préviens;	2	1	31	2	0.06451612903225806	[['un'], ['plein']]
7	il sera trompé dans son attente;	2	2	6	0	0.0	[]
8	je ne puis lui donner là-dessus le moindre éclaircissement, il ne me vint pas seulement l'idée d'en prendre;	2	3	21	0	0.0	[]
9	il n'y aurait je crois pas plus pensé que moi, s'il se fut trouvé tout-à-coup dans ces vastes et effroyables solitudes.	2	4	23	1	0.043478260869565216	[['vaste']]
10	J'y errois à-peu-près comme une plume legère, livrée au caprice du souffle qui l'agite;	2	5	16	1	0.0625	[['un']]
11	je ne savais si je montois ou si je descendois, ni ou j'allois, ni quand je cessois d'aller, et j'étais en proie à l'inquiétude la plus amère, lorsqu'après quelques heures d'une situation aussi cruelle, je reconnus une Région habitée, et vis devant moi un portail superbe, sur lequel était écrit en grandes lettres d'or, Hôtel des Auteurs François.	2	6	65	7	0.1076923076923077	[['amer'], ['un'], ['un'], ['un'], ['superbe'], ['grand'], ['de', 'or']]
12	Je fus tout réjoüi à cette vue: l'aventure s'est dénouée bien heureusement, me dis-je à moi-même, je vais voir bonne compagnie.	3	0	25	0	0.0	[]
13	J'entrai hardiment et personne ne m'arrêta;	3	1	8	0	0.0	[]
14	je traversai plusieurs grandes cours et j'arrivai enfin à un vestibule immense.	3	2	13	2	0.15384615384615385	[['grand'], ['un']]
15	CHAPITRE SECOND	4	0	2	0	0.0	[]
16	Le Vestibule.	4	1	2	0	0.0	[]
17	IL était plein d'un nombre prodigieux de laquais.	5	0	9	2	0.2222222222222222	[['plein'], ['un']]
18	Dès qu'ils me virent paraître, ils se levèrent promptement et mirent leur chapeau bas.	5	1	15	0	0.0	[]
19	Ah! me dis-je, il y a de l'ordre dans ce monde, et ils ne sont pas si souples chez les Seigneurs de l'autre.	5	2	26	1	0.038461538461538464	[['souple']]
20	A qui êtes-vous, demandai-je d'un ton assuré à un de ceux qui se trouva le plus près de moi et qui me parut avoir la meilleure façon?	5	3	30	3	0.1	[['un'], ['ton'], ['un']]
21	A peine lui eus-je fait cette question, que j'aperçu le nom de *** imprimé sur son front: je le vois, ajoutai-je, vous êtes à M. ***, donnez-m'en des nouvelles.	5	4	35	3	0.08571428571428572	[['faire'], ['front'], ['un']]
