filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Lesuire_Aventurier	0	AVANT-PROPOS.	0	0	1	0	0.0	[]	0.0	0.02702702702702703	0.0	0.0	0.0
Lesuire_Aventurier	1	Cette seconde suite de l'Aventurier François contient la vie du fils de Gregoire Merveil, qui a, comme il est naturel, à-peu-près la même physionomie que son père, et qui éprouve des aventures du même genre.	1	0	36	1	0.0277777777777777	[['naturel']]	0.01694915254237288	0.016666666666666666	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	2	C'est un jeune homme qui cède à l'ascendant des circonstances, qui en est toujours puni, et qui nous peint ses remords;	1	1	23	0	0.0	[]	0.012048192771084338	0.012048192771084338	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	3	leçon continuelle, ce me semble, pour les jeunes gens, qui ne sont que trop portés à s'applaudir des bonnes fortunes dont celui-ci gémit.	1	2	24	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	4	Il est, à-peu-près, en homme, ce qu'est, enfemme, Manon l'Escaut.	1	3	12	0	0.0	[]	0.018518518518518517	0.018518518518518517	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	5	Puissent les Mémoires de Cataudin approcher des grâces de ceux qui portent le nom de cette belle fille!	1	4	18	1	0.0555555555555555	[['bel']]	0.02564102564102564	0.02564102564102564	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	6	Tous les Héros de Roman vantent leurs exploits amoureux	1	5	9	0	0.0	[]	0.029411764705882353	0.029411764705882353	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	7	, celui-ci se les reproche comme des égarements.	1	6	7	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	8	Il n'est jamais aggresseur;	1	7	5	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	9	par-tout il est séduit, par-{?K}tout il est entraîné.	1	8	9	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	10	On reconnoîtra peut-être que notre but est de faire observer, par-là, qu'il faut résister aux circonstances, quand on veut être vertueux.	1	9	23	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	11	Au reste, nous sommes bien loin de donner ces Mémoires pour autre chose qu'un Roman, et même d'y montrer des prétentions au rôle estimable de moraliste.	1	10	28	0	0.0	[]	0.0	0.0	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	12	Les Lecteurs ne se préviennent, que trop aisément, contre ceux qui paraissent vouloir les instruire et les dogmatiser.	1	11	18	0	0.0	[]	0.0136986301369863	0.0136986301369863	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	13	Nous continuons, à cet Ouvrage, le nom d' Aventurier François, parcequ'il est intimement lié avec les précédentes parties, et qu'il fait entièrement corps avec elles.	1	12	27	1	0.037037037037037	[['corps']]	0.022222222222222223	0.02	0.012552301255230125	0.0	0.018518518518518497
Lesuire_Aventurier	14	SECONDE SUITE DE L'AVENTURIER	2	0	5	0	0.0	[]	0.0	0.030303030303030304	0.0	0.0	0.0
Lesuire_Aventurier	15	FRANÇOIS.	2	1	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Lesuire_Aventurier	16	PREMIERE PARTIE.	2	2	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Lesuire_Aventurier	17	LIVRE PREMIER.	2	3	2	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Lesuire_Aventurier	18	On a vu, dans la vie de mon père, le commencement de la mienne ( a ).	3	0	16	0	0.0	[]	0.0	0.0	0.012195121951219513	0.0	0.02182329819931398
Lesuire_Aventurier	19	Cataudin est, comme on sait, le fils de Cataud, c'est-à-dire, de la chambriere d'un Curé.	3	1	19	0	0.0	[]	0.0	0.0	0.012195121951219513	0.0	0.02182329819931398
Lesuire_Aventurier	20	Mon origine n'est pas plus brillante que cela du côté maternel.	3	2	12	0	0.0	[]	0.0	0.0	0.012195121951219513	0.0	0.02182329819931398
