filename	sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched	density (range=3,same_paragraph=True)	density (range=3,same_paragraph=False)	paragraph density	paragraph density median	paragraph density std
Voltaire_Micromegas	0	CHAPITRE 1 voyage d' un habitant du monde de l' étoile	0	0	11	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Micromegas	1	Sirius	0	1	1	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Micromegas	2	dans le globe de Saturne	0	2	5	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Micromegas	3	.	0	3	0	0	0.0	[]	0.0	0.0	0.0	0.0	0.0
Voltaire_Micromegas	4	dans ces planétes qui tournent autour de l' étoile nommée	1	0	10	0	0.0	[]	0.0	0.0	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	5	Sirius	1	1	1	0	0.0	[]	0.025	0.025	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	6	, il y avait un jeune homme de beaucoup d' esprit que j' ai eu l' honneur de connaitre dans le dernier voyage qu' il fit sur notre petite fourmiliére.	1	2	29	1	0.0344827586206896	[['petit']]	0.047619047619047616	0.047619047619047616	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	7	Il s' appelait Micromégas, nom qui convient fort à tous les grands.	1	3	12	1	0.0833333333333333	[['fort']]	0.05	0.05	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	8	Il avait huit lieues de haut: j' entends par huit lieues vingt-quatre mille pas géometriques de cinq pieds chacun.	1	4	19	1	0.0526315789473684	[['haut']]	0.052083333333333336	0.052083333333333336	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	9	Quelques géometres, gens toujours utiles au public, prendront sur le champ la plume, et trouveront que puisque Monsieur Micromégas, habitant du pays de Sirius, a de la tête aux pieds vingt-quatre mille pas, qui font cent vingt-mille pieds de roi, et que nous autres citoyens de la terre, nous n' avons guères que cinq pieds, et que notre globe a neuf mille lieues de tour;	1	5	65	3	0.0461538461538461	[['tête'], ['pied'], ['pied']]	0.04132231404958678	0.04132231404958678	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	10	ils trouveront, dis je, qu' il fautabsolument que le globe qui l' a produit ait juste vingt un million six cent mille' pos='DET' lemma='vingt un million six cent mille'/> fois plus de circonférence que notre petite terre.	1	6	37	1	0.027027027027027	[['petit']]	0.035398230088495575	0.035398230088495575	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	11	Rien n' est plus simple et plus ordinaire dans la nature.	1	7	11	0	0.0	[]	0.020202020202020204	0.020202020202020204	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	12	Les états de quelques souverains d' Allemagne ou d' Italie, dont on peut faire le tour en une demie heure, comparés à l' empire de Turquie, de Moscovie ou de la Chine, ne sont qu' une très-faible image des prodigieuses différences que la nature a mises dans tous les êtres.	1	8	51	1	0.0196078431372549	[['faible']]	0.030927835051546393	0.030927835051546393	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	13	La taille de son excellence étant de la hauteur que j' ai dite, tous nos sculpteurs et tous nos peintres conviendront sans peine que sa ceinture peut avoir cinquante mille pieds de roi de tour;	1	9	35	2	0.0571428571428571	[['taille'], ['pied']]	0.043010752688172046	0.043010752688172046	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	14	ce qui fait une très-jolie proportion.	1	10	7	1	0.1428571428571428	[['joli']]	0.09278350515463918	0.09278350515463918	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	15	Son nez étant le tiers de son visage, et son beau visage étant la septiéme partie de la hauteur de son beau corps, il faut avoüer que le nez du sirien a six mille trois cens trente-trois' pos='DET' lemma='six mille trois cents trente-trois'/> pieds de roi plus une fraction, ce qui était à démontrer.	1	11	55	6	0.109090909090909	[['nez'], ['visage'], ['beau'], ['beau'], ['corps'], ['nez']]	0.09333333333333334	0.09333333333333334	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	16	Quant à son esprit, c' est un des plus cultivé que nous ayons;	1	12	13	0	0.0	[]	0.0759493670886076	0.0759493670886076	0.0341130604288499	0.01800064288010285	0.037163710489538565
Voltaire_Micromegas	17	il sait beaucoup de choses: il en a inventé quelques-unes;	1	13	11	0	0.0	[]	0.010309278350515464	0.010309278350515464	0.0341130604288499	0.01800064288010285	0.037163710489538565
