sentence nr	sentence	paragraph nr	sentence nr in paragraph	words	matches	sentence density	vocabulary words matched
0	CHAPITRE 1 voyage d' un habitant du monde de l' étoile	0	0	11	0	0.0	[]
1	Sirius	0	1	1	0	0.0	[]
2	dans le globe de Saturne	0	2	5	0	0.0	[]
3	.	0	3	0	0	0	[]
4	dans ces planétes qui tournent autour de l' étoile nommée	1	0	10	0	0.0	[]
5	Sirius	1	1	1	0	0.0	[]
6	, il y avait un jeune homme de beaucoup d' esprit que j' ai eu l' honneur de connaitre dans le dernier voyage qu' il fit sur notre petite fourmiliére.	1	2	29	1	0.034482758620689655	[['petit']]
7	Il s' appelait Micromégas, nom qui convient fort à tous les grands.	1	3	12	1	0.08333333333333333	[['fort']]
8	Il avait huit lieues de haut: j' entends par huit lieues vingt-quatre mille pas géometriques de cinq pieds chacun.	1	4	19	1	0.05263157894736842	[['haut']]
9	Quelques géometres, gens toujours utiles au public, prendront sur le champ la plume, et trouveront que puisque Monsieur Micromégas, habitant du pays de Sirius, a de la tête aux pieds vingt-quatre mille pas, qui font cent vingt-mille pieds de roi, et que nous autres citoyens de la terre, nous n' avons guères que cinq pieds, et que notre globe a neuf mille lieues de tour;	1	5	65	3	0.046153846153846156	[['tête'], ['pied'], ['pied']]
10	ils trouveront, dis je, qu' il fautabsolument que le globe qui l' a produit ait juste vingt un million six cent mille' pos='DET' lemma='vingt un million six cent mille'/> fois plus de circonférence que notre petite terre.	1	6	37	1	0.02702702702702703	[['petit']]
11	Rien n' est plus simple et plus ordinaire dans la nature.	1	7	11	0	0.0	[]
12	Les états de quelques souverains d' Allemagne ou d' Italie, dont on peut faire le tour en une demie heure, comparés à l' empire de Turquie, de Moscovie ou de la Chine, ne sont qu' une très-faible image des prodigieuses différences que la nature a mises dans tous les êtres.	1	8	51	1	0.0196078431372549	[['faible']]
13	La taille de son excellence étant de la hauteur que j' ai dite, tous nos sculpteurs et tous nos peintres conviendront sans peine que sa ceinture peut avoir cinquante mille pieds de roi de tour;	1	9	35	2	0.05714285714285714	[['taille'], ['pied']]
14	ce qui fait une très-jolie proportion.	1	10	7	1	0.14285714285714285	[['joli']]
15	Son nez étant le tiers de son visage, et son beau visage étant la septiéme partie de la hauteur de son beau corps, il faut avoüer que le nez du sirien a six mille trois cens trente-trois' pos='DET' lemma='six mille trois cents trente-trois'/> pieds de roi plus une fraction, ce qui était à démontrer.	1	11	55	6	0.10909090909090909	[['nez'], ['visage'], ['beau'], ['beau'], ['corps'], ['nez']]
16	Quant à son esprit, c' est un des plus cultivé que nous ayons;	1	12	13	0	0.0	[]
17	il sait beaucoup de choses: il en a inventé quelques-unes;	1	13	11	0	0.0	[]
18	il n' avait pas encore deux cens cinquante ans, et il étudiait selon la coutume au collège le plus célèbre de sa planette, lorsqu' il devina par la force de son esprit plus de cinquante propositions d' Euclide: c' est dixhuit de plus que Blaise Pascal, lequel après en avoir deviné trente-deux en se jouant, à ce que dit sa sœur, aima mieux depuis être un assez médiocre métaphysicien, qu' un grand géometre.	1	14	73	1	0.0136986301369863	[['grand']]
19	Versles quatre cent cinquante ans, au sortir de l' enfance il disséqua beaucoup de ces petits insectes qui n' ont pas cent pieds de diametre, et qui se dérobent aux microscopes ordinaires.	1	15	32	2	0.0625	[['petit'], ['pied']]
20	Il en composa un livre fort curieux, mais qui lui fit quelques affaires.	1	16	13	1	0.07692307692307693	[['fort']]
